"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"92","247493_at",0.958829462811106,9.10063591263246,6.27752397696794,4.93298363534798e-05,0.00772612347819044,2.34591560995784,"BON","Encodes a plasma-membrane localized, copine-like protein, which is a member of a newly identified class of calcium-dependent, phospholipid binding proteins that are present in a wide range of organisms. Mutants exhibit temperature-sensitive growth defects and increased hypersensitive response where permissive conditions are low temperature (22 degrees Celsius) and low humidity. Gene is expressed at 22 but not at 28 (restrictive condition) degrees. Lethality of double mutants with BON3 can be partially suppressed by SNC1. Double mutants show defects in development that are genetically separable from hypersensitive/cell death response."
"93","247493_at",0.958829462811106,9.10063591263246,6.27752397696794,4.93298363534798e-05,0.00772612347819044,2.34591560995784,"BON1","Encodes a plasma-membrane localized, copine-like protein, which is a member of a newly identified class of calcium-dependent, phospholipid binding proteins that are present in a wide range of organisms. Mutants exhibit temperature-sensitive growth defects and increased hypersensitive response where permissive conditions are low temperature (22 degrees Celsius) and low humidity. Gene is expressed at 22 but not at 28 (restrictive condition) degrees. Lethality of double mutants with BON3 can be partially suppressed by SNC1. Double mutants show defects in development that are genetically separable from hypersensitive/cell death response."
"94","247493_at",0.958829462811106,9.10063591263246,6.27752397696794,4.93298363534798e-05,0.00772612347819044,2.34591560995784,"CPN1","Encodes a plasma-membrane localized, copine-like protein, which is a member of a newly identified class of calcium-dependent, phospholipid binding proteins that are present in a wide range of organisms. Mutants exhibit temperature-sensitive growth defects and increased hypersensitive response where permissive conditions are low temperature (22 degrees Celsius) and low humidity. Gene is expressed at 22 but not at 28 (restrictive condition) degrees. Lethality of double mutants with BON3 can be partially suppressed by SNC1. Double mutants show defects in development that are genetically separable from hypersensitive/cell death response."
"252","254815_at",-1.1337834957039,11.9126652500864,-6.26434588187815,5.02808783909813e-05,0.00772612347819044,2.32765404596762,"SKU5","Encodes a protein of unknown function involved in directed root tip growth. It is a member of 19-member gene family and is distantly related structurally to the multiple-copper oxidases ascorbate oxidase and laccase, though it lacks the copper-binding domains. The protein is glycosylated and GPI-anchored. It is localized to the plasma membrane and the cell wall. The gene is expressed most strongly in expanding tissues."
"318","258532_at",0.762025783564773,12.0546784135296,6.27475278683898,4.95282266599655e-05,0.00772612347819044,2.34207767480013,"eL29z",NA
"409","263789_at",2.92279856174242,2.84859163371302,6.25900399680944,5.06719366822169e-05,0.00772612347819044,2.320243816216,"GGL15",NA
"412","263841_at",0.644541901462931,8.86052448825349,6.25298265960754,5.11166199904101e-05,0.00772612347819044,2.31188572385104,"AtXTH32",NA
"413","263841_at",0.644541901462931,8.86052448825349,6.25298265960754,5.11166199904101e-05,0.00772612347819044,2.31188572385104,"XTH32",NA
"492","266583_at",-0.73757776671267,12.1751054648855,-6.2586040423164,5.07013457656795e-05,0.00772612347819044,2.31968882292426,NA,NA
"4","245175_at",0.705720944765808,11.2972365590696,6.15549004842872,5.89250696631428e-05,0.00773516796835027,2.17577072021963,"ATPDI11","Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). AtIRE1-2 does not appear to be required for this response, but the atbzip60 mutant has a diminished response."
